tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,intensity_std
528,46.4181000000596,33.43039999960139,2,0.043,1.15,2.2,2.7,3.2,9.103925138789576
529,65.10510000009407,70.23539999976903,3.5,0.073,1.375,2.7,4.5,6.1,8.668252196550434
530,30.083100000096856,30.90439999953061,18.9,0.288,3.85,12.4,39.4,156.1,10.9181051166361
531,68.5671000000354,36.01539999956414,5.7,0.091,1.675,1.7,5.9,15.7,11.979646984981953
532,17.670100000038182,16.78739999991059,12.6,0.182,4.675,5,54,152.9,7.101214518701355
533,84.6221000000866,61.59639999980256,3.2,0.109,0.55,1.8,0.5,0.8,8.546510376625573
534,44.63710000010058,26.05439999990314,5.3,0.144,1.6,2.5,5.7,6.4,9.528889830759825
535,29.260100000005586,70.70039999962002,5.5,0.151,1.475,3.1,5.9,13,9.35458364552839
536,28.56710000003539,37.973399999664714,3.2,0,1.2,1.6,3.5,6.2,8.735755339572322
537,45.615100000103375,28.76239999953806,12.2,0.127,2.75,7.7,19.1,50.4,10.270471277422253
538,52.3611000000298,25.480399999880788,12.7,0.584,4.475,6,53,170.4,11.019866471783049
539,82.09710000006332,36.24539999954552,11.7,0.168,2.675,4.6,18.5,43.5,10.66271667686702
540,47.6461000000624,29.86639999982119,18.5,0.08,4.125,7.8,48.5,221.4,9.738680461261142
541,59.932100000026075,33.350399999526886,3.5,0.062,0.975,1.4,2.6,5.4,11.942265181360014
542,70.54010000003353,79.91739999979883,2.8,0.073,1.6,2.4,5.7,8,7.018413977882148
543,17.26810000003632,47.63139999948591,13.5,0,5.8,4.9,86.9,321.2,8.95773242970191
544,54.01210000010058,24.94739999959394,9.3,0.117,2.625,7.6,17.3,47.9,10.885092288235118
545,65.72410000004191,41.656399999858436,3.2,0.091,1.0499999999999998,3.1,3,5.5,7.829440054612201
546,74.98410000005123,58.21439999958649,2.9,0.072,0.5,2.9,0.7,1.1,9.32738034306092
547,37.87710000009127,25.609399999605117,2.9,0,3.35,1.3,21,49.3,10.6650663218226
548,41.900100000019556,25.294399999660996,17.6,0.204,4.525,8.3,57.7,339.2,10.638322672257646
549,23.325100000066122,56.63939999986589,6.5,0.073,4.550000000000001,2.2,45.1,116.9,6.9826444650824815
550,40.789100000102444,27.316399999541787,4,0.063,1.35,1.3,5.7,10.4,9.99604817952624
551,77.25210000009127,46.341399999914316,12.6,0,1.95,2.3,11.9,40.2,13.150738158979047
552,56.03310000005029,65.89039999956414,5.6,0.042,1.05,1.8,3.3,9.1,12.327808708611323
553,73.94910000001863,63.96939999947473,4.1,0.085,1.775,3.6,6.4,9.5,9.495890663959695
554,30.197100000040045,23.03439999988452,16.4,0.143,12.05,9.7,374.6,2960.5,10.54029166493297
555,84.90810000005028,68.9653999997504,13.6,0,2.7750000000000004,9.4,19.4,64.3,9.898280229105469
556,56.24110000003446,21.999399999735502,11.1,0.147,7.35,7,150.1,612.4,10.664188220757303
557,57.43610000009965,78.20839999953434,3.1,0.072,0.475,3.1,0.6,1,13.485298037728825
558,26.275100000019556,25.273399999478457,5.5,0.112,3.15,2.6,24.8,50.5,8.661119651380346
559,78.0901000000801,39.876399999597666,8,0.214,1.95,2.6,9.1,12.9,9.959898903579102
560,29.62810000002235,27.353399999552963,15.1,0.108,2.5250000000000004,12,19.9,54.3,9.196922369046089
561,41.316100000104306,28.89439999975413,5.1,0.232,1.925,1.5,11.5,27.9,9.90697949557829
562,75.9991000000652,32.655399999694524,10.1,0,1.625,3,7.1,21.2,9.536960048583854
563,17.670100000038182,32.78439999988452,4.7,0.119,0.25,2.1,0.2,0.2,14.086168120718344
564,59.47210000006333,35.66739999979883,4.5,0,1.7999999999999998,1.8,6.3,8.8,10.825835103471343
565,50.37310000001769,42.503399999925485,2.9,0.052,1.2999999999999998,2.9,3.2,4.1,9.0174595025403
566,37.386100000053084,39.95439999981001,3.1,0.044,0.55,2.5,0.8,0.9,8.604581229171021
567,45.14709999999348,22.67139999952316,3.9,0.102,1.1,1.8,3.7,6,12.287607068114983
568,80.227100000068,37.892399999891964,9.9,0.141,2.375,5.9,14.1,31.2,11.675995529937824
569,26.400100000019556,7.413399999608844,18.2,0.181,5.550000000000001,6.6,80.3,380,8.832565834319212
570,29.87610000004377,25.867399999519435,5.7,0.084,2,3,8.9,10.6,8.66157386140876
571,47.75810000002701,25.247399999873338,22.1,0.126,4.375,2.2,48.9,196.6,11.602132532477713
572,61.010100000005586,57.6243999997355,2.9,0,0.5,2.9,0.7,0.9,7.810384659182994
573,60.25810000002701,32.69739999959394,3.5,0.106,1.025,1.9,2.4,3.8,12.207756489975129
574,75.05110000009034,53.67839999973923,12,0.107,2.7750000000000004,6.7,23.7,98.3,10.595327280988837
575,28.93510000005216,31.73639999946728,7.1,0,1.875,2.7,10,24.2,10.35831453936902
576,20.22010000008475,77.15639999985844,10.5,0,9.25,8.6,185.9,739.7,7.833775702380829
577,15.791100000081025,13.60539999988079,8.3,0.163,17.075000000000003,10.3,729.6,3130.3,8.232221741243473
578,23.771100000062397,81.4983999995716,13.1,0,2.925,5,23.5,94.7,9.676926846521171
579,29.551100000090337,51.79139999963492,7.7,0.119,3.05,2.5,23.5,53.4,9.327405137100271
580,21.86310000000838,24.01939999975413,8,0,0.975,7.6,1.8,2.2,10.58479037745392
581,24.527099999998136,6.49239999951944,14.1,0.685,8.6,8.5,225.2,1551.7,8.443145206924566
582,29.67409999999534,79.33239999983607,13.5,0,3.6,4.2,34.1,138.9,8.413888302078266
583,49.05010000004284,33.60339999955296,4.3,0.094,2.075,2.2,11,23.4,9.36567095466313
584,64.45610000000187,40.08139999967217,3.3,0,1.75,2.8,6.9,10.4,8.470354756063754
